0,1,2,3,4
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,533,2,-380
Portland Trail Blazers,29,533,2,265
Utah Jazz,42,515,2,-380
Portland Trail Blazers,31,515,2,265
Utah Jazz,44,496,2,-350
Portland Trail Blazers,31,496,2,245
Utah Jazz,47,475,2,-450
Portland Trail Blazers,31,475,2,300
Utah Jazz,47,455,2,-360
Portland Trail Blazers,31,455,2,250
Utah Jazz,47,437,2,-700
Portland Trail Blazers,31,437,2,400
Utah Jazz,47,437,2,-750
Portland Trail Blazers,31,437,2,425
Utah Jazz,47,437,2,-750
Portland Trail Blazers,32,437,2,425
Utah Jazz,47,437,2,-700
Portland Trail Blazers,32,437,2,400
Utah Jazz,47,431,2,-650
Portland Trail Blazers,33,431,2,385
Utah Jazz,47,418,2,-550
Portland Trail Blazers,33,418,2,350
Utah Jazz,47,428,2,-550
Portland Trail Blazers,33,428,2,350
Utah Jazz,49,411,2,-550
Portland Trail Blazers,33,411,2,350
Utah Jazz,49,403,2,-750
Portland Trail Blazers,33,403,2,425
Utah Jazz,52,387,2,-750
Portland Trail Blazers,33,387,2,450
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,675
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,675
Utah Jazz,52,387,2,-1400
Portland Trail Blazers,33,387,2,625
Utah Jazz,52,377,2,-1400
Portland Trail Blazers,33,377,2,625
Utah Jazz,52,356,2,-1400
Portland Trail Blazers,33,356,2,625
Utah Jazz,52,340,2,-1400
Portland Trail Blazers,33,340,2,625
Utah Jazz,52,322,2,-1400
Portland Trail Blazers,33,322,2,625
Utah Jazz,52,314,2,-1600
Portland Trail Blazers,33,314,2,700
Utah Jazz,54,302,2,-1600
Portland Trail Blazers,33,302,2,700
Utah Jazz,54,282,2,-2000
Portland Trail Blazers,35,282,2,800
Utah Jazz,54,278,2,-4000
Portland Trail Blazers,35,278,2,1000
Utah Jazz,54,259,2,-2000
Portland Trail Blazers,35,259,2,800
Utah Jazz,54,247,2,-2000
Portland Trail Blazers,35,247,2,800
Utah Jazz,54,247,2,-2000
Portland Trail Blazers,35,247,2,800
Utah Jazz,54,233,2,-2000
Portland Trail Blazers,35,233,2,800
Utah Jazz,54,232,2,-2000
Portland Trail Blazers,35,232,2,800
Utah Jazz,54,218,2,-2000
Portland Trail Blazers,37,218,2,800
Utah Jazz,54,195,2,-1100
Portland Trail Blazers,37,195,2,575
Utah Jazz,54,181,2,-1100
Portland Trail Blazers,37,181,2,575
Utah Jazz,54,161,2,-1100
Portland Trail Blazers,40,161,2,600
Utah Jazz,54,148,2,-750
Portland Trail Blazers,40,148,2,425
Utah Jazz,54,148,2,-750
Portland Trail Blazers,40,148,2,425
Utah Jazz,57,131,2,-750
Portland Trail Blazers,40,131,2,425
Utah Jazz,57,115,2,-750
Portland Trail Blazers,40,115,2,450
Utah Jazz,60,100,2,-1400
Portland Trail Blazers,40,100,2,675
Utah Jazz,60,96,2,-5000
Portland Trail Blazers,42,96,2,1100
Utah Jazz,60,80,2,-5000
Portland Trail Blazers,42,80,2,1100
Utah Jazz,60,80,2,-5000
Portland Trail Blazers,42,80,2,1100
Utah Jazz,61,80,2,-3300
Portland Trail Blazers,42,80,2,950
Utah Jazz,62,78,2,-4000
Portland Trail Blazers,42,78,2,1000
Utah Jazz,65,61,2,-4000
Portland Trail Blazers,42,61,2,1100
Utah Jazz,65,43,2,-50000
Portland Trail Blazers,42,43,2,1500
Utah Jazz,65,22,2,-50000
Portland Trail Blazers,42,22,2,1500
Utah Jazz,65,13,2,-50000
Portland Trail Blazers,42,13,2,1500
Utah Jazz,65,13,2,-50000
Portland Trail Blazers,42,13,2,1500
Utah Jazz,65,13,2,-50000
Portland Trail Blazers,42,13,2,1500
Utah Jazz,65,4,2,-50000
Portland Trail Blazers,42,4,2,1500
Utah Jazz,65,4,2,-50000
Portland Trail Blazers,42,4,2,1500
Utah Jazz,65,1,2,-50000
Portland Trail Blazers,42,1,2,1500
Utah Jazz,65,2,2,-50000
Portland Trail Blazers,43,2,2,1500
Utah Jazz,65,2,2,-50000
Portland Trail Blazers,44,2,2,1500
Utah Jazz,65,600,3,-50000
Portland Trail Blazers,44,600,3,1400
Utah Jazz,65,600,3,-50000
Portland Trail Blazers,44,600,3,1400
Utah Jazz,65,600,3,-50000
Portland Trail Blazers,44,600,3,1400
Utah Jazz,70,608,3,-50000
Portland Trail Blazers,46,608,3,1500
Utah Jazz,70,589,3,-50000
Portland Trail Blazers,48,589,3,1600
Utah Jazz,72,568,3,-50000
Portland Trail Blazers,48,568,3,1500
Utah Jazz,72,551,3,-50000
Portland Trail Blazers,48,551,3,1500
Utah Jazz,72,532,3,-50000
Portland Trail Blazers,48,532,3,1500
Utah Jazz,72,515,3,-50000
Portland Trail Blazers,50,515,3,1600
Utah Jazz,72,496,3,-50000
Portland Trail Blazers,50,496,3,1500
Utah Jazz,75,478,3,-50000
Portland Trail Blazers,50,478,3,1700
Utah Jazz,75,460,3,-50000
Portland Trail Blazers,52,460,3,1500
Utah Jazz,77,455,3,-50000
Portland Trail Blazers,52,455,3,1700
Utah Jazz,78,454,3,-50000
Portland Trail Blazers,52,454,3,1700
Utah Jazz,78,437,3,-50000
Portland Trail Blazers,52,437,3,1600
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,1900
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,80,428,3,-50000
Portland Trail Blazers,52,428,3,2100
Utah Jazz,81,427,3,-50000
Portland Trail Blazers,52,427,3,2100
Utah Jazz,81,413,3,-50000
Portland Trail Blazers,52,413,3,2100
Utah Jazz,81,413,3,-50000
Portland Trail Blazers,52,413,3,2100
