0,1,2,3,4
Philadelphia 76ers,37,571,2,-360
Washington Wizards,32,563,2,285
Philadelphia 76ers,37,563,2,-425
Washington Wizards,32,534,2,285
Philadelphia 76ers,37,534,2,-425
Washington Wizards,32,513,2,285
Philadelphia 76ers,39,513,2,-425
Washington Wizards,35,508,2,315
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,508,2,300
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,508,2,300
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,508,2,300
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,508,2,300
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,508,2,300
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,508,2,300
Philadelphia 76ers,39,508,2,-475
Washington Wizards,35,474,2,300
Philadelphia 76ers,39,474,2,-475
Washington Wizards,35,453,2,300
Philadelphia 76ers,39,453,2,-475
Washington Wizards,37,422,2,265
Philadelphia 76ers,42,422,2,-380
Washington Wizards,37,386,2,300
Philadelphia 76ers,42,386,2,-450
Washington Wizards,37,366,2,295
Philadelphia 76ers,42,366,2,-450
Washington Wizards,37,366,2,295
Philadelphia 76ers,42,366,2,-450
Washington Wizards,37,365,2,315
Philadelphia 76ers,44,365,2,-475
Washington Wizards,37,357,2,315
Philadelphia 76ers,44,357,2,-475
Washington Wizards,37,357,2,350
Philadelphia 76ers,44,357,2,-550
Washington Wizards,37,357,2,350
Philadelphia 76ers,44,357,2,-550
Washington Wizards,37,357,2,350
Philadelphia 76ers,44,357,2,-550
Washington Wizards,37,357,2,350
Philadelphia 76ers,44,357,2,-550
Washington Wizards,37,357,2,350
Philadelphia 76ers,44,357,2,-550
Washington Wizards,37,357,2,350
Philadelphia 76ers,44,357,2,-550
Washington Wizards,37,346,2,350
Philadelphia 76ers,44,346,2,-550
Washington Wizards,37,316,2,350
Philadelphia 76ers,47,316,2,-550
Washington Wizards,37,292,2,400
Philadelphia 76ers,50,292,2,-700
Washington Wizards,37,292,2,500
Philadelphia 76ers,50,292,2,-900
Washington Wizards,38,292,2,450
Philadelphia 76ers,50,292,2,-800
Washington Wizards,39,277,2,450
Philadelphia 76ers,50,277,2,-800
Washington Wizards,39,277,2,475
Philadelphia 76ers,50,277,2,-800
Washington Wizards,39,277,2,475
Philadelphia 76ers,51,277,2,-800
Washington Wizards,41,266,2,500
Philadelphia 76ers,51,266,2,-900
Washington Wizards,41,248,2,425
Philadelphia 76ers,51,248,2,-750
Washington Wizards,44,224,2,500
Philadelphia 76ers,51,224,2,-900
Washington Wizards,44,199,2,320
Philadelphia 76ers,51,199,2,-475
Washington Wizards,47,175,2,350
Philadelphia 76ers,53,175,2,-550
Washington Wizards,50,145,2,300
Philadelphia 76ers,53,145,2,-450
Washington Wizards,53,131,2,285
Philadelphia 76ers,53,131,2,-425
Washington Wizards,53,130,2,285
Philadelphia 76ers,53,130,2,-425
Washington Wizards,53,122,2,220
Philadelphia 76ers,53,122,2,-300
Washington Wizards,53,113,2,205
Philadelphia 76ers,53,113,2,-280
Washington Wizards,55,91,2,205
Philadelphia 76ers,53,91,2,-280
Washington Wizards,55,75,2,205
Philadelphia 76ers,53,75,2,-280
Washington Wizards,55,70,2,165
Philadelphia 76ers,53,70,2,-220
Washington Wizards,55,51,2,190
Philadelphia 76ers,53,51,2,-260
Washington Wizards,55,51,2,190
Philadelphia 76ers,53,51,2,-260
Washington Wizards,55,51,2,210
Philadelphia 76ers,53,51,2,-290
Washington Wizards,55,39,2,190
Philadelphia 76ers,54,39,2,-260
Washington Wizards,55,35,2,210
Philadelphia 76ers,54,35,2,-290
Washington Wizards,55,35,2,220
Philadelphia 76ers,54,35,2,-300
Washington Wizards,55,35,2,220
Philadelphia 76ers,56,35,2,-300
Washington Wizards,57,4,2,220
Philadelphia 76ers,56,4,2,-300
Washington Wizards,57,4,2,205
Philadelphia 76ers,56,4,2,-280
Washington Wizards,57,0,2,220
Philadelphia 76ers,58,0,2,-300
Washington Wizards,58,0,2,220
Philadelphia 76ers,58,0,2,-300
Washington Wizards,58,0,2,190
Philadelphia 76ers,58,0,2,-260
Washington Wizards,59,600,3,190
Philadelphia 76ers,58,600,3,-260
Washington Wizards,59,600,3,190
Philadelphia 76ers,58,600,3,-260
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
Washington Wizards,59,600,3,205
Philadelphia 76ers,58,600,3,-280
