0,1,2,3,4
Phoenix Suns,23,59,1,-215
Dallas Mavericks,17,58,1,155
Phoenix Suns,23,58,1,-210
Dallas Mavericks,18,58,1,160
Phoenix Suns,23,58,1,-215
Dallas Mavericks,19,57,1,160
Phoenix Suns,23,57,1,-215
Dallas Mavericks,19,40,1,140
Phoenix Suns,23,40,1,-185
Dallas Mavericks,19,26,1,145
Phoenix Suns,23,26,1,-190
Dallas Mavericks,19,22,1,140
Phoenix Suns,23,22,1,-185
Dallas Mavericks,29,414,2,165
Phoenix Suns,33,414,2,-220
Dallas Mavericks,29,397,2,165
Phoenix Suns,33,397,2,-220
Dallas Mavericks,29,386,2,155
Phoenix Suns,33,386,2,-210
Dallas Mavericks,29,381,2,165
Phoenix Suns,33,381,2,-220
Dallas Mavericks,29,376,2,155
Phoenix Suns,33,376,2,-210
Dallas Mavericks,32,356,2,145
Phoenix Suns,33,356,2,-190
Dallas Mavericks,32,337,2,120
Phoenix Suns,35,337,2,-160
Dallas Mavericks,32,320,2,135
Phoenix Suns,35,320,2,-180
Dallas Mavericks,32,302,2,130
Phoenix Suns,37,302,2,-175
Dallas Mavericks,32,285,2,135
Phoenix Suns,37,285,2,-180
Dallas Mavericks,35,266,2,160
Phoenix Suns,37,266,2,-215
Dallas Mavericks,35,260,2,145
Phoenix Suns,37,260,2,-190
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,160
Phoenix Suns,37,260,2,-215
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,260,2,135
Phoenix Suns,37,260,2,-180
Dallas Mavericks,35,242,2,135
Phoenix Suns,39,242,2,-180
Dallas Mavericks,35,226,2,150
Phoenix Suns,39,226,2,-200
Dallas Mavericks,37,211,2,150
Phoenix Suns,39,211,2,-200
Dallas Mavericks,37,207,2,150
Phoenix Suns,39,207,2,-200
Dallas Mavericks,37,199,2,140
Phoenix Suns,39,199,2,-185
Dallas Mavericks,37,184,2,140
Phoenix Suns,42,184,2,-185
Dallas Mavericks,37,165,2,165
Phoenix Suns,42,165,2,-220
Dallas Mavericks,37,161,2,165
Phoenix Suns,42,161,2,-220
Dallas Mavericks,37,161,2,140
