0,1,2,3,4
Cleveland Cavaliers,32,582,2,-115
Charlotte Hornets,27,554,2,-115
Cleveland Cavaliers,34,554,2,-115
Charlotte Hornets,27,554,2,-115
Cleveland Cavaliers,34,554,2,-115
Charlotte Hornets,27,554,2,-105
Cleveland Cavaliers,34,554,2,-125
Charlotte Hornets,27,554,2,-105
Cleveland Cavaliers,34,554,2,-125
Charlotte Hornets,27,554,2,-105
Cleveland Cavaliers,34,554,2,-125
Charlotte Hornets,27,554,2,-105
Cleveland Cavaliers,34,554,2,-125
Charlotte Hornets,27,554,2,-105
Cleveland Cavaliers,34,554,2,-125
Charlotte Hornets,27,539,2,-105
Cleveland Cavaliers,34,539,2,-125
Charlotte Hornets,27,512,2,100
Cleveland Cavaliers,34,512,2,-130
Charlotte Hornets,29,510,2,-105
Cleveland Cavaliers,34,510,2,-125
Charlotte Hornets,30,501,2,100
Cleveland Cavaliers,34,501,2,-130
Charlotte Hornets,30,474,2,-115
Cleveland Cavaliers,38,474,2,-115
Charlotte Hornets,32,450,2,110
Cleveland Cavaliers,38,450,2,-150
Charlotte Hornets,32,427,2,130
Cleveland Cavaliers,41,427,2,-175
Charlotte Hornets,36,396,2,110
Cleveland Cavaliers,41,396,2,-145
Charlotte Hornets,36,385,2,125
Cleveland Cavaliers,41,385,2,-165
Charlotte Hornets,36,385,2,110
Cleveland Cavaliers,42,385,2,-145
Charlotte Hornets,36,359,2,145
Cleveland Cavaliers,44,359,2,-190
Charlotte Hornets,38,344,2,145
Cleveland Cavaliers,44,344,2,-190
Charlotte Hornets,40,316,2,145
Cleveland Cavaliers,44,316,2,-190
Charlotte Hornets,40,301,2,105
Cleveland Cavaliers,46,301,2,-135
Charlotte Hornets,40,291,2,125
Cleveland Cavaliers,47,291,2,-165
Charlotte Hornets,40,266,2,130
Cleveland Cavaliers,49,266,2,-175
Charlotte Hornets,40,262,2,180
Cleveland Cavaliers,49,262,2,-240
Charlotte Hornets,40,236,2,185
Cleveland Cavaliers,49,236,2,-250
Charlotte Hornets,40,222,2,185
Cleveland Cavaliers,49,222,2,-250
Charlotte Hornets,40,211,2,170
Cleveland Cavaliers,51,211,2,-230
Charlotte Hornets,40,203,2,230
Cleveland Cavaliers,51,203,2,-320
Charlotte Hornets,40,194,2,185
Cleveland Cavaliers,51,194,2,-250
Charlotte Hornets,40,194,2,300
Cleveland Cavaliers,53,194,2,-450
Charlotte Hornets,40,181,2,275
Cleveland Cavaliers,53,181,2,-400
Charlotte Hornets,40,163,2,320
Cleveland Cavaliers,55,163,2,-475
Charlotte Hornets,40,133,2,400
Cleveland Cavaliers,57,133,2,-700
Charlotte Hornets,40,125,2,400
Cleveland Cavaliers,57,125,2,-700
Charlotte Hornets,40,125,2,575
Cleveland Cavaliers,57,125,2,-1100
Charlotte Hornets,40,125,2,525
Cleveland Cavaliers,57,125,2,-950
Charlotte Hornets,40,125,2,525
Cleveland Cavaliers,57,125,2,-950
Charlotte Hornets,40,125,2,525
Cleveland Cavaliers,57,125,2,-950
Charlotte Hornets,40,125,2,525
Cleveland Cavaliers,57,125,2,-950
Charlotte Hornets,40,125,2,500
Cleveland Cavaliers,57,125,2,-900
Charlotte Hornets,40,125,2,500
Cleveland Cavaliers,57,125,2,-900
Charlotte Hornets,42,116,2,500
Cleveland Cavaliers,57,116,2,-900
Charlotte Hornets,42,97,2,500
Cleveland Cavaliers,59,97,2,-900
Charlotte Hornets,44,70,2,425
Cleveland Cavaliers,61,70,2,-750
Charlotte Hornets,44,61,2,625
Cleveland Cavaliers,61,61,2,-1400
Charlotte Hornets,44,38,2,625
Cleveland Cavaliers,63,38,2,-1400
Charlotte Hornets,44,20,2,900
Cleveland Cavaliers,63,20,2,-3300
Charlotte Hornets,44,0,2,950
Cleveland Cavaliers,65,0,2,-3300
Charlotte Hornets,44,0,2,1100
Cleveland Cavaliers,65,0,2,-20000
Charlotte Hornets,44,0,2,1100
Cleveland Cavaliers,65,0,2,-20000
Charlotte Hornets,44,0,2,1300
Cleveland Cavaliers,65,0,2,-6600
Charlotte Hornets,44,0,2,1300
Cleveland Cavaliers,65,0,2,-6600
Charlotte Hornets,44,600,3,1200
Cleveland Cavaliers,65,600,3,-6600
Charlotte Hornets,44,600,3,1200
Cleveland Cavaliers,65,600,3,-6600
Charlotte Hornets,44,600,3,1200
Cleveland Cavaliers,65,600,3,-6600
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
Cleveland Cavaliers,65,600,3,-20000
Charlotte Hornets,44,600,3,1300
