0,1,2,3,4
Boston Celtics,44,311,2,215
Milwaukee Bucks,48,311,2,-300
Boston Celtics,44,311,2,215
Milwaukee Bucks,48,311,2,-300
Boston Celtics,44,311,2,215
Milwaukee Bucks,48,303,2,-320
Boston Celtics,44,303,2,230
Milwaukee Bucks,48,291,2,-260
Boston Celtics,44,291,2,190
Milwaukee Bucks,48,280,2,-260
Boston Celtics,45,280,2,190
Milwaukee Bucks,48,280,2,-240
Boston Celtics,46,280,2,175
Milwaukee Bucks,48,258,2,-220
Boston Celtics,46,258,2,165
Milwaukee Bucks,48,248,2,-220
Boston Celtics,49,248,2,165
Milwaukee Bucks,50,221,2,-210
Boston Celtics,49,221,2,155
Milwaukee Bucks,50,197,2,-220
Boston Celtics,51,197,2,165
Milwaukee Bucks,50,169,2,-190
Boston Celtics,51,169,2,145
Milwaukee Bucks,52,142,2,-160
Boston Celtics,54,142,2,120
Milwaukee Bucks,52,117,2,-160
Boston Celtics,56,117,2,120
Milwaukee Bucks,52,121,2,-160
Boston Celtics,56,121,2,120
Milwaukee Bucks,52,121,2,-130
Boston Celtics,56,121,2,100
Milwaukee Bucks,52,121,2,-130
Boston Celtics,56,121,2,100
Milwaukee Bucks,52,106,2,-130
Boston Celtics,56,106,2,100
Milwaukee Bucks,52,105,2,-130
Boston Celtics,56,105,2,100
Milwaukee Bucks,52,89,2,-130
Boston Celtics,58,89,2,100
Milwaukee Bucks,54,56,2,100
Boston Celtics,61,56,2,-130
Milwaukee Bucks,57,37,2,110
Boston Celtics,61,37,2,-150
Milwaukee Bucks,57,15,2,-135
Boston Celtics,61,15,2,105
Milwaukee Bucks,58,11,2,-150
Boston Celtics,61,11,2,110
Milwaukee Bucks,59,11,2,-135
Boston Celtics,61,11,2,105
Milwaukee Bucks,59,0,2,-155
Boston Celtics,64,0,2,115
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-155
Boston Celtics,64,600,3,115
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-105
Boston Celtics,64,600,3,-125
Milwaukee Bucks,59,600,3,-110
Boston Celtics,64,600,3,-120
Milwaukee Bucks,59,600,3,-110
Boston Celtics,64,600,3,-120
Milwaukee Bucks,59,600,3,-110
Boston Celtics,64,600,3,-120
Milwaukee Bucks,59,600,3,-110
Boston Celtics,64,600,3,-120
Milwaukee Bucks,68,528,3,-210
Boston Celtics,69,528,3,155
Milwaukee Bucks,68,504,3,-155
Boston Celtics,72,504,3,115
Milwaukee Bucks,70,467,3,-130
Boston Celtics,74,467,3,100
Milwaukee Bucks,70,440,3,-135
Boston Celtics,74,440,3,105
Milwaukee Bucks,70,432,3,115
Boston Celtics,74,432,3,-155
Milwaukee Bucks,70,414,3,105
Boston Celtics,74,414,3,-135
Milwaukee Bucks,70,419,3,115
Boston Celtics,74,419,3,-155
Milwaukee Bucks,70,419,3,-155
Boston Celtics,74,419,3,115
Milwaukee Bucks,70,419,3,100
Boston Celtics,74,419,3,-130
Milwaukee Bucks,70,419,3,100
Boston Celtics,74,419,3,-130
Milwaukee Bucks,70,419,3,100
Boston Celtics,74,419,3,-130
Milwaukee Bucks,70,419,3,100
Boston Celtics,74,419,3,-130
Milwaukee Bucks,70,407,3,100
Boston Celtics,74,407,3,-130
Milwaukee Bucks,70,379,3,-160
Boston Celtics,76,379,3,120
Milwaukee Bucks,70,380,3,105
Boston Celtics,76,380,3,-135
Milwaukee Bucks,70,380,3,105
Boston Celtics,76,380,3,-135
Milwaukee Bucks,71,360,3,105
Boston Celtics,78,360,3,-135
Milwaukee Bucks,71,351,3,120
Boston Celtics,78,351,3,-160
Milwaukee Bucks,71,320,3,125
Boston Celtics,78,320,3,-165
Milwaukee Bucks,73,298,3,125
Boston Celtics,78,298,3,-165
Milwaukee Bucks,73,272,3,125
Boston Celtics,80,272,3,-165
Milwaukee Bucks,73,259,3,140
Boston Celtics,80,259,3,-185
Milwaukee Bucks,76,189,3,190
Boston Celtics,86,189,3,-260
Milwaukee Bucks,78,170,3,285
Boston Celtics,88,170,3,-400
Milwaukee Bucks,78,170,3,265
Boston Celtics,88,170,3,-400
Milwaukee Bucks,78,170,3,265
Boston Celtics,88,170,3,-400
Milwaukee Bucks,80,110,3,315
Boston Celtics,91,110,3,-475
Milwaukee Bucks,82,84,3,325
Boston Celtics,93,84,3,-475
Milwaukee Bucks,83,54,3,550
Boston Celtics,96,54,3,-1100
Milwaukee Bucks,84,3,3,675
Boston Celtics,101,3,3,-1600
Milwaukee Bucks,84,3,3,1400
Boston Celtics,101,3,3,-20000
Milwaukee Bucks,84,3,3,800
Boston Celtics,101,3,3,-2000
Milwaukee Bucks,84,720,4,800
Boston Celtics,101,720,4,-2000
Milwaukee Bucks,89,646,4,1100
Boston Celtics,105,646,4,-6600
Milwaukee Bucks,91,597,4,1000
Boston Celtics,105,597,4,-4000
Milwaukee Bucks,94,564,4,525
Boston Celtics,105,564,4,-950
Milwaukee Bucks,97,524,4,425
Boston Celtics,105,524,4,-750
Milwaukee Bucks,97,524,4,385
Boston Celtics,105,524,4,-650
Milwaukee Bucks,97,524,4,385
Boston Celtics,105,524,4,-650
Milwaukee Bucks,97,524,4,385
Boston Celtics,105,524,4,-650
Milwaukee Bucks,97,524,4,350
Boston Celtics,105,524,4,-550
Milwaukee Bucks,97,524,4,350
Boston Celtics,105,524,4,-550
Milwaukee Bucks,97,524,4,350
Boston Celtics,105,524,4,-550
Milwaukee Bucks,97,515,4,350
Boston Celtics,107,515,4,-550
Milwaukee Bucks,97,515,4,350
Boston Celtics,107,515,4,-550
Milwaukee Bucks,97,515,4,400
Boston Celtics,107,515,4,-700
Milwaukee Bucks,99,510,4,400
Boston Celtics,107,510,4,-700
Milwaukee Bucks,100,492,4,450
Boston Celtics,109,492,4,-800
Milwaukee Bucks,102,467,4,400
Boston Celtics,109,467,4,-700
Milwaukee Bucks,102,451,4,385
Boston Celtics,109,451,4,-650
Milwaukee Bucks,102,448,4,400
Boston Celtics,109,448,4,-700
Milwaukee Bucks,102,423,4,400
Boston Celtics,109,423,4,-700
Milwaukee Bucks,104,388,4,400
Boston Celtics,109,388,4,-700
Milwaukee Bucks,107,388,4,400
Boston Celtics,109,388,4,-700
Milwaukee Bucks,107,388,4,115
Boston Celtics,109,388,4,-155
Milwaukee Bucks,107,388,4,115
Boston Celtics,109,388,4,-155
Milwaukee Bucks,107,388,4,115
Boston Celtics,109,388,4,-155
Milwaukee Bucks,107,388,4,115
Boston Celtics,109,388,4,-155
Milwaukee Bucks,107,388,4,115
Boston Celtics,109,388,4,-155
Milwaukee Bucks,107,386,4,115
Boston Celtics,109,386,4,-155
Milwaukee Bucks,107,355,4,115
Boston Celtics,111,355,4,-155
Milwaukee Bucks,107,339,4,145
Boston Celtics,111,339,4,-190
Milwaukee Bucks,109,338,4,145
Boston Celtics,111,338,4,-190
Milwaukee Bucks,109,312,4,120
Boston Celtics,113,312,4,-160
Milwaukee Bucks,109,299,4,175
Boston Celtics,113,299,4,-240
Milwaukee Bucks,111,259,4,175
Boston Celtics,113,259,4,-240
Milwaukee Bucks,113,236,4,130
Boston Celtics,113,236,4,-175
Milwaukee Bucks,113,212,4,110
Boston Celtics,113,212,4,-145
Milwaukee Bucks,113,216,4,-150
Boston Celtics,113,216,4,110
Milwaukee Bucks,113,216,4,-155
Boston Celtics,113,216,4,115
Milwaukee Bucks,113,216,4,-155
Boston Celtics,113,216,4,115
Milwaukee Bucks,115,197,4,-155
Boston Celtics,113,197,4,115
Milwaukee Bucks,115,175,4,-155
Boston Celtics,113,175,4,115
Milwaukee Bucks,115,162,4,-155
Boston Celtics,115,162,4,115
Milwaukee Bucks,115,144,4,-155
Boston Celtics,115,144,4,115
Milwaukee Bucks,115,127,4,-155
Boston Celtics,115,127,4,115
Milwaukee Bucks,115,127,4,-155
Boston Celtics,115,127,4,115
Milwaukee Bucks,117,122,4,-155
Boston Celtics,115,122,4,115
Milwaukee Bucks,117,107,4,-180
Boston Celtics,117,107,4,135
Milwaukee Bucks,117,82,4,-275
Boston Celtics,119,82,4,200
