0,1,2,3,4
Chicago Bulls,48,142,2,1600
Atlanta Hawks,76,121,2,-20000
Chicago Bulls,50,121,2,1900
Atlanta Hawks,77,121,2,-20000
Chicago Bulls,50,121,2,1700
Atlanta Hawks,78,106,2,-20000
Chicago Bulls,50,106,2,1600
Atlanta Hawks,78,92,2,-20000
Chicago Bulls,53,92,2,1700
Atlanta Hawks,80,88,2,-20000
Chicago Bulls,53,88,2,1600
Atlanta Hawks,80,64,2,-20000
Chicago Bulls,56,64,2,1700
Atlanta Hawks,83,44,2,-20000
Chicago Bulls,56,44,2,1600
Atlanta Hawks,83,32,2,-20000
Chicago Bulls,59,32,2,1500
Atlanta Hawks,83,3,2,-20000
Chicago Bulls,59,3,2,1600
Atlanta Hawks,83,600,3,-20000
Chicago Bulls,59,600,3,1600
Atlanta Hawks,86,659,3,-50000
Chicago Bulls,61,659,3,1600
Atlanta Hawks,86,630,3,-50000
Chicago Bulls,61,630,3,1600
Atlanta Hawks,86,630,3,-50000
Chicago Bulls,61,630,3,1600
Atlanta Hawks,86,630,3,-50000
Chicago Bulls,61,630,3,1600
Atlanta Hawks,86,630,3,-50000
Chicago Bulls,61,630,3,1600
Atlanta Hawks,86,630,3,-50000
Chicago Bulls,61,630,3,1600
Atlanta Hawks,86,630,3,-50000
Chicago Bulls,61,630,3,1600
Atlanta Hawks,86,627,3,-50000
Chicago Bulls,61,627,3,1600
Atlanta Hawks,88,617,3,-50000
Chicago Bulls,61,617,3,1600
Atlanta Hawks,88,591,3,-50000
Chicago Bulls,61,591,3,1600
Atlanta Hawks,88,580,3,-50000
Chicago Bulls,61,580,3,2100
Atlanta Hawks,89,580,3,-50000
Chicago Bulls,61,580,3,2100
Atlanta Hawks,91,568,3,-50000
Chicago Bulls,61,568,3,2100
Atlanta Hawks,91,566,3,-50000
Chicago Bulls,61,566,3,2100
Atlanta Hawks,91,566,3,-50000
Chicago Bulls,62,566,3,2100
Atlanta Hawks,91,553,3,-50000
Chicago Bulls,62,553,3,2100
Atlanta Hawks,94,524,3,-50000
Chicago Bulls,62,524,3,2100
Atlanta Hawks,94,490,3,-50000
Chicago Bulls,64,490,3,2100
Atlanta Hawks,96,470,3,-50000
Chicago Bulls,64,470,3,2100
Atlanta Hawks,96,456,3,-50000
Chicago Bulls,64,456,3,2100
Atlanta Hawks,97,446,3,-50000
Chicago Bulls,64,446,3,2100
Atlanta Hawks,98,434,3,-50000
Chicago Bulls,64,434,3,2100
Atlanta Hawks,98,417,3,-50000
Chicago Bulls,64,417,3,2100
Atlanta Hawks,98,406,3,-50000
Chicago Bulls,64,406,3,2100
Atlanta Hawks,98,406,3,-50000
Chicago Bulls,64,406,3,2100
Atlanta Hawks,98,396,3,-50000
Chicago Bulls,64,396,3,2100
Atlanta Hawks,98,365,3,-50000
Chicago Bulls,64,365,3,2100
